File:                                                                           Before                   After                    Steiner                  convergence_value        Energy                                  
challenge_instances/point-set_10_f999dc7f.instance.json                         10                       4                        6                        -0.61521                 15                       
challenge_instances/point-set_10_ae0fff93.instance.json                         6                        4                        2                        -0.321928                13                       
challenge_instances/point-set_40_f511c8ce.instance.json                         44                       34                       10                       -0.147515                107                      
challenge_instances/point-set_40_ae33a7ea.instance.json                         38                       25                       12                       -0.225852                81                       
challenge_instances/point-set_20_41c48315.instance.json                         20                       12                       8                        -0.311075                40                       
challenge_instances/point-set_40_8cbf31aa.instance.json                         30                       19                       11                       -0.267637                62.5                     
challenge_instances/point-set_10_97578aae.instance.json                         6                        3                        3                        -0.51572                 10.5                     
challenge_instances/point-set_10_d009159f.instance.json                         8                        5                        3                        -0.336026                16.5                     
challenge_instances/point-set_60_74409a1d.instance.json                         59                       32                       22                       -0.361224                107                      
challenge_instances/point-set_20_54ab0b47.instance.json                         18                       10                       8                        -0.362258                34                       
challenge_instances/point-set_60_9fc02edd.instance.json                         80                       47                       25                       -0.271362                153.5                    
challenge_instances/point-set_60_2ff8f975.instance.json                         72                       39                       29                       -0.329844                131.5                    
challenge_instances/point-set_80_837b0f11.instance.json                         105                      65                       35                       -0.254037                212.5                    
challenge_instances/point-set_40_9451c229.instance.json                         34                       13                       19                       -0.588226                48.5                     
challenge_instances/point-set_40_1b92b629.instance.json                         40                       24                       15                       -0.290255                79.5                     
challenge_instances/point-set_20_5868538a.instance.json                         15                       10                       5                        -0.258477                32.5                     
challenge_instances/point-set_100_05594822.instance.json                        111                      68                       40                       -0.264384                224                      
challenge_instances/point-set_80_8383fead.instance.json                         86                       51                       31                       -0.287897                168.5                    
challenge_instances/point-set_80_d77fb670.instance.json                         68                       30                       33                       -0.473695                106.5                    
challenge_instances/point-set_10_7451a2a9.instance.json                         5                        3                        2                        -0.415037                10                       
challenge_instances/point-set_20_fa3fd7e0.instance.json                         15                       8                        5                        -0.364803                26.5                     
challenge_instances/point-set_80_9a8373fb.instance.json                         35                       14                       19                       -0.56144                 51.5                     
challenge_instances/point-set_60_ac318d72.instance.json                         64                       33                       25                       -0.343288                111.5                    
challenge_instances/point-set_20_0c4009d9.instance.json                         26                       22                       4                        -0.106125                68                       
challenge_instances/point-set_10_c04b0024.instance.json                         9                        3                        6                        -0.756894                12                       
challenge_instances/point-set_20_34a047f7.instance.json                         23                       14                       8                        -0.321454                46                       
challenge_instances/point-set_150_1fb326cf.instance.json                        164                      125                      35                       -0.136512                392.5                    
challenge_instances/point-set_80_1675b331.instance.json                         54                       26                       24                       -0.409778                90                       
challenge_instances/point-set_60_27bc003d.instance.json                         65                       50                       15                       -0.14584                 157.5                    
challenge_instances/point-set_100_0245ce31.instance.json                        32                       12                       17                       -0.615709                44.5                     
challenge_instances/point-set_100_dd67678e.instance.json                        89                       56                       29                       -0.242833                182.5                    
challenge_instances/point-set_10_13860916.instance.json                         11                       6                        4                        -0.395698                20                       
challenge_instances/point-set_10_4bcb7c21.instance.json                         6                        2                        4                        -0.81362                 8                        
challenge_instances/point-set_80_ff15444b.instance.json                         86                       53                       31                       -0.260271                174.5                    
challenge_instances/point-set_20_72cd2066.instance.json                         21                       9                        10                       -0.478227                32                       
challenge_instances/point-set_150_b26a2c80.instance.json                        153                      91                       51                       -0.272684                298.5                    
challenge_instances/point-set_150_20bcb550.instance.json                        118                      71                       40                       -0.271768                233                      
challenge_instances/point-set_150_982c9ab3.instance.json                        198                      146                      49                       -0.155435                462.5                    
challenge_instances/point-set_250_93dd622a.instance.json                        121                      83                       30                       -0.200575                264                      
challenge_instances/point-set_250_3c338713.instance.json                        257                      157                      84                       -0.257079                513                      
